GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ships - SHARED,com.epam.ships.shared.infra.logging.core,SharedLogger,34,9,0,0,7,4,4,1,4,1
Ships - SHARED,com.epam.ships.shared.infra.communication.api.message,Author,5,43,0,0,0,2,1,3,1,3
Ships - SHARED,com.epam.ships.shared.infra.communication.api.message,Header,5,123,0,0,0,4,1,3,1,3
Ships - SHARED,com.epam.ships.shared.infra.communication.api.message,Status,5,43,0,0,0,2,1,3,1,3
Ships - SHARED,com.epam.ships.shared.infra.communication.core.json.io,JsonSender,6,36,0,0,2,10,0,2,0,2
Ships - SHARED,com.epam.ships.shared.infra.communication.core.json.io,JsonReceiver,23,31,1,1,5,11,1,2,0,2
Ships - SHARED,com.epam.ships.shared.fleet,Ship,29,62,8,6,0,5,7,7,1,6
Ships - SHARED,com.epam.ships.shared.fleet,Fleet,36,116,9,9,0,18,9,13,2,11
Ships - SHARED,com.epam.ships.shared.fleet,Mast,11,73,7,7,0,4,6,7,0,6
Ships - SHARED,com.epam.ships.shared.fleet,Damage,9,39,0,0,0,2,2,2,2,2
Ships - SHARED,com.epam.ships.shared.infra.communication.core.json.conversion,JsonEncoder,0,14,0,0,0,5,0,2,0,2
Ships - SHARED,com.epam.ships.shared.infra.communication.core.json.conversion,JsonDecoder,0,14,0,0,0,3,0,2,0,2
Ships - SHARED,com.epam.ships.shared.infra.communication.core.message,BaseMessage,107,148,33,13,0,10,24,14,1,14
Ships - SHARED,com.epam.ships.shared.infra.communication.core.message,MessageBuilder,0,69,0,0,0,23,0,7,0,7
